,1,2,3,4,5,6
94,First Meeting,"Group name:
The Art of Community Conversation • New York, NY","SAT, MAY 21 · 7:00 PM UTC+2",26 attendees,No place left,https://www.meetup.com/the-art-of-community-conversation/events/285552346
95,Central Park Picnic,"Group name:
Big Apple Dinners, Brunches & Adventures (30s-50s) • New York, NY","SAT, MAY 21 · 7:00 PM UTC+2",19 attendees,5 spots left,https://www.meetup.com/big-apple-beauties-30s-50s/events/285475556
96,LBGTQ+ Women's Picnic,"Group name:
LGBTQ+ Women Social Group (Ages ≈21-40ish) • New York, NY","SAT, MAY 21 · 7:00 PM UTC+2",10 attendees,No place left,https://www.meetup.com/lgbtq-women-social-group-ages-20-40/events/285807405
97,D&D 5E World of Greyhawk: Take the Tower! Part 3,"Group name:
Online Monthly D&D Game Meetup Group • Brooklyn, NY","SAT, MAY 21 · 7:00 PM UTC+2",9 attendees,No place left,https://www.meetup.com/online-monthly-dnd-game-meetup-group/events/285466017
98,Vegan Take Out & Picnic in Prospect Park,"Group name:
Vegan Ventures • New York, NY","SAT, MAY 21 · 7:00 PM UTC+2",4 attendees,No place left,https://www.meetup.com/Vegan-Ventures/events/285680042
99,Brick Walls Over Brunch,"Group name:
The Irish / British Genealogy Group • New York, NY","SAT, MAY 21 · 8:00 PM UTC+2",12 attendees,No place left,https://www.meetup.com/The-Irish-British-Genealogy-Group/events/285216249
100,Lets Dine NYC : Grimaldis Pizza at Brooklyn Bridge Park,"Group name:
Let’s Dine NYC • New York, NY","SAT, MAY 21 · 9:15 PM UTC+2",23 attendees,No place left,https://www.meetup.com/let-s-dine-nyc/events/285362399
101,Archives Exposed,"Group name:
Archives Exposed Exhibit • New York, NY","SAT, MAY 21 · 10:00 PM UTC+2",28 attendees,No place left,https://www.meetup.com/archives-exposed-exhibit/events/285384608
102,Let's Play Softball! - Brooklyn Half Marathon Edition - May 21st,"Group name:
Central Park Saturday Afternoon Co-Ed Softball • New York, NY","SAT, MAY 21 · 10:00 PM UTC+2",24 attendees,No place left,https://www.meetup.com/Central-Park-Saturday-Afternoon-Co-Ed-Softball/events/285914681
103,Join the first Aging with Attitude meet up event!,"Group name:
Aging with Attitude Meetup Group • New York, NY","SAT, MAY 21 · 11:00 PM UTC+2",4 attendees,No place left,https://www.meetup.com/aging-with-attitude-meetup-group/events/284822803
104,Interactive BoardGames presents: Blood on the Clocktower,"Group name:
The Interactive Heroes • New York, NY","SUN, MAY 22 · 12:00 AM UTC+2",9 attendees,No place left,https://www.meetup.com/meetup-group-eyaqvekz/events/285730684
105,Who is preventing full E.T disclosure and why?,"Group name:
New York Ufo Research and Investigations Meetup Group • New York, NY","SUN, MAY 22 · 1:00 AM UTC+2",10 attendees,No place left,https://www.meetup.com/new-york-ufo-research-investigations-meetup-group/events/285774353
106,Sunday at The Metropolitan Museum of Art,"Group name:
Livin Your Best Life • Freehold, NJ","SUN, MAY 22 · 2:00 PM UTC+2",16 attendees,No place left,https://www.meetup.com/livin-your-best-life/events/284723997
107,Brompton Ride & Eat @ Smorgasburg,"Group name:
Brompton New York • New York, NY","SUN, MAY 22 · 4:00 PM UTC+2",40 attendees,No place left,https://www.meetup.com/BromptonNYC/events/285542140
108,Tarot Class With Anne & Spiritual Chat,"Group name:
Tarot Reading with Anne • Brooklyn, NY","SUN, MAY 22 · 4:00 PM UTC+2",9 attendees,No place left,https://www.meetup.com/thepsychicdancer/events/285652930
109,Gay/bi/trans Social event Brooklyn Botanic Garden,"Group name:
LGBTQIA BlazenArts Art Club • Brooklyn, NY","SUN, MAY 22 · 5:00 PM UTC+2",18 attendees,No place left,https://www.meetup.com/lgbtqia-bushwick-art-club/events/285342978
110,Normal People (Sally Rooney),"Group name:
Jersey City Brunch Book Club meetup • Jersey City, NJ","SUN, MAY 22 · 5:00 PM UTC+2",8 attendees,2 spots left,https://www.meetup.com/Jersey-City-Brunch-Book-Club-meetup/events/284744806
111,Brunch at The Cabin,"Group name:
New York's Female Brunch Club • New York, NY","SUN, MAY 22 · 5:00 PM UTC+2",13 attendees,7 spots left,https://www.meetup.com/new-yorks-female-brunch-club/events/285744728
112,Hoboken Community Bike Rides,"Group name:
Hoboken Bicycling Meetup • Hoboken, NJ","SUN, MAY 22 · 5:00 PM UTC+2",4 attendees,No place left,https://www.meetup.com/HobokenBicyclingMeetup/events/285619776
113,May 2022 Meetup,"Group name:
City Corgi Collective • New York, NY","SUN, MAY 22 · 6:00 PM UTC+2",11 attendees,No place left,https://www.meetup.com/city-corgi-collective/events/285669910
114,Halal Thai Food !!,"Group name:
NYC, LI, & NJ Desi/Middle Eastern Meetup • New York, NY","SUN, MAY 22 · 7:00 PM UTC+2",10 attendees,No place left,https://www.meetup.com/nyc-li-nj-desi-meetup/events/285826618
115,"""Drive Your Plow Over the Bones of the Dead,"" by Olga Tokarczuk","Group name:
The Millennialish Book Club • New York, NY","SUN, MAY 22 · 8:00 PM UTC+2",41 attendees,No place left,https://www.meetup.com/NYC-20-something-book-club/events/282104024
116,Discussion: Purpose,"Group name:
New York Interesting Conversations • New York, NY","SUN, MAY 22 · 8:00 PM UTC+2",30 attendees,No place left,https://www.meetup.com/new-york-conversations/events/285557050
117,Sunday Skate has returned!,"Group name:
Bronx Adult Skaters • Bronx, NY","SUN, MAY 22 · 8:00 PM UTC+2",8 attendees,No place left,https://www.meetup.com/bronx-adult-skaters/events/285608331
118,Picnic in Central Park,"Group name:
Gay Parenting - LGBT Future Parents • New York, NY","SUN, MAY 22 · 9:00 PM UTC+2",3 attendees,No place left,https://www.meetup.com/gay-parenting-lgbt-future-parents/events/285693902
